time,pressure,temperature,humidity,gyro_x,gyro_y,gyro_z,uv_index,ir_light,visible_light,eco2,tvoc,rawh2,rawethanol,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,latitude,longitude,altitude,speed,course
2021-03-27 10:08:56,101.74,12.7,35.05,-1.34,-0.73,0.0,0.65,986.0,379.0,400.0,0.0,15109.0,19414.0,-0.14,-0.05,0.99,13.82,-3.1,-36.1,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:08:59,101.74,12.68,35.26,-1.34,0.12,-0.67,0.64,990.0,377.0,400.0,0.0,15114.0,19416.0,-0.14,-0.06,0.99,14.16,-2.91,-35.9,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:09:01,101.74,12.72,34.98,-1.28,0.12,-0.79,0.66,996.0,382.0,400.0,0.0,15116.0,19417.0,-0.14,-0.06,0.99,13.5,-2.19,-36.0,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:09:04,101.74,12.72,34.99,-1.28,0.06,-0.92,0.67,1015.0,382.0,406.0,0.0,15117.0,19421.0,-0.14,-0.06,0.99,14.31,-3.08,-35.6,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:09:06,101.74,12.7,34.84,-1.46,0.18,-0.79,0.67,1011.0,382.0,402.0,0.0,15121.0,19422.0,-0.14,-0.06,0.99,14.0,-3.17,-35.9,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:09:08,101.74,12.72,34.97,-1.46,0.18,-0.79,0.68,1009.0,383.0,400.0,0.0,15133.0,19435.0,-0.14,-0.06,0.99,13.76,-2.6,-36.3,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:09:09,101.74,12.7,34.77,-1.28,0.0,-0.92,0.66,1008.0,380.0,404.0,0.0,15128.0,19425.0,-0.15,-0.06,0.99,12.85,-2.73,-36.2,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:09:11,101.74,12.72,34.9,-1.34,0.06,-0.85,0.67,1010.0,382.0,406.0,0.0,15120.0,19427.0,-0.14,-0.05,0.99,13.26,-3.17,-35.1,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:09:13,101.73,12.67,34.75,-1.22,0.06,-0.92,0.68,1010.0,383.0,418.0,0.0,15119.0,19430.0,-0.14,-0.06,0.99,13.55,-3.2,-35.6,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:09:15,101.74,12.67,34.77,-1.28,0.06,-0.85,0.67,1010.0,382.0,409.0,0.0,15125.0,19434.0,-0.14,-0.06,0.99,13.9,-2.81,-36.1,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:09:17,101.74,12.68,34.79,-1.28,0.12,-0.79,0.67,1010.0,382.0,410.0,0.0,15125.0,19442.0,-0.14,-0.06,0.99,13.9,-2.99,-35.9,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:09:19,101.75,12.7,34.78,-1.22,0.0,-0.79,0.67,1009.0,382.0,404.0,0.0,15118.0,19435.0,-0.14,-0.06,0.99,13.67,-2.92,-36.0,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:09:21,101.74,12.68,34.87,-1.28,0.12,-0.73,0.67,1009.0,383.0,404.0,0.0,15124.0,19442.0,-0.14,-0.05,0.99,13.22,-3.04,-35.0,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:09:23,101.74,12.68,34.87,-1.46,0.12,-0.92,0.68,1012.0,383.0,400.0,0.0,15137.0,19448.0,-0.14,-0.06,0.99,13.57,-3.53,-34.8,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:09:26,101.75,12.67,34.77,-1.22,0.06,-0.79,0.67,1008.0,382.0,406.0,0.0,15132.0,19443.0,-0.14,-0.06,0.99,14.1,-3.12,-36.1,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:09:28,101.75,12.65,34.75,-1.34,0.12,-0.85,0.68,1016.0,383.0,408.0,0.0,15139.0,19453.0,-0.14,-0.06,0.99,12.96,-2.81,-35.3,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:09:30,101.74,12.65,34.75,-1.34,0.06,-0.85,0.67,1019.0,382.0,400.0,0.0,15140.0,19448.0,-0.14,-0.06,0.99,13.67,-2.58,-35.2,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:09:32,101.73,12.67,34.74,-1.22,0.18,-0.67,0.66,1020.0,381.0,403.0,0.0,15139.0,19455.0,-0.14,-0.06,0.99,13.56,-2.8,-35.7,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:09:34,101.74,12.67,34.69,-1.34,0.18,-0.61,0.68,1016.0,384.0,413.0,0.0,15136.0,19455.0,-0.14,-0.06,0.99,13.75,-2.97,-36.5,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:09:37,101.74,12.67,34.64,-1.46,0.98,0.12,0.68,1017.0,383.0,414.0,0.0,15132.0,19454.0,-0.14,-0.05,1.04,14.06,-2.56,-35.1,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:09:39,101.74,12.67,34.66,-1.22,0.06,-0.79,0.68,1020.0,384.0,408.0,0.0,15137.0,19459.0,-0.14,-0.05,0.99,13.21,-2.91,-36.0,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:09:42,101.74,12.7,34.62,-1.46,0.12,-0.79,0.7,1036.0,388.0,407.0,0.0,15135.0,19463.0,-0.14,-0.05,0.99,13.49,-2.53,-34.8,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:09:44,101.74,12.67,34.55,-1.4,0.43,-1.34,0.69,1039.0,386.0,415.0,0.0,15132.0,19461.0,-0.17,-0.07,0.99,14.14,-2.8,-35.8,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:09:46,101.74,12.7,34.6,-1.22,0.18,-0.79,0.69,1037.0,385.0,411.0,0.0,15138.0,19464.0,-0.14,-0.06,0.99,13.23,-2.45,-36.0,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:09:49,101.74,12.68,34.55,-1.4,0.06,-0.67,0.7,1038.0,387.0,414.0,0.0,15124.0,19460.0,-0.14,-0.06,0.99,13.64,-2.8,-36.8,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:09:52,101.74,12.7,34.66,-1.4,0.24,-0.79,0.69,1040.0,386.0,406.0,0.0,15132.0,19463.0,-0.14,-0.06,0.99,14.17,-2.95,-36.0,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:09:54,101.74,12.72,34.64,-1.46,0.06,-0.73,0.7,1039.0,387.0,400.0,0.0,15141.0,19469.0,-0.14,-0.06,0.99,13.42,-2.08,-35.2,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:09:56,101.74,12.65,34.66,-1.4,0.12,-0.79,0.7,1038.0,388.0,406.0,0.0,15138.0,19466.0,-0.14,-0.06,0.99,13.54,-2.92,-36.2,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:09:58,101.74,12.68,34.71,-1.34,0.12,-0.79,0.7,1039.0,388.0,405.0,0.0,15138.0,19468.0,-0.14,-0.06,0.99,13.01,-2.84,-36.5,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:10:01,101.74,12.65,34.69,-0.92,0.49,7.63,0.69,1042.0,388.0,400.0,0.0,15150.0,19473.0,-0.23,-0.1,0.98,13.35,-3.11,-36.4,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:10:03,101.74,12.65,34.59,-1.28,0.06,-0.85,0.7,1035.0,387.0,400.0,0.0,15156.0,19485.0,-0.15,-0.08,0.99,12.44,-1.31,-36.7,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:10:06,101.74,12.67,34.65,-1.53,0.0,-0.61,0.69,1034.0,386.0,402.0,0.0,15150.0,19483.0,-0.12,-0.09,0.99,12.72,-1.22,-37.3,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:10:09,101.74,12.67,34.64,-1.59,0.12,-0.79,0.7,1034.0,387.0,413.0,2.0,15147.0,19480.0,-0.15,-0.09,0.99,12.55,-1.2,-36.2,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:10:12,101.74,12.65,34.52,-1.34,0.06,-0.73,0.69,1033.0,386.0,408.0,0.0,15153.0,19485.0,-0.15,-0.09,0.99,12.44,-1.32,-36.2,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:10:14,101.74,12.65,34.65,-1.22,0.12,-0.85,0.69,1034.0,385.0,411.0,0.0,15150.0,19488.0,-0.15,-0.09,0.99,12.9,-0.81,-37.4,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:10:16,101.74,12.67,34.65,-1.28,0.18,-0.73,0.68,1033.0,384.0,412.0,0.0,15147.0,19485.0,-0.15,-0.09,0.99,12.55,-1.0,-36.1,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:10:18,101.74,12.65,34.59,-1.28,0.06,-0.73,0.69,1034.0,386.0,414.0,2.0,15146.0,19479.0,-0.15,-0.09,0.99,12.57,-0.95,-36.3,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:10:20,101.74,12.67,34.59,-1.4,0.24,-0.73,0.69,1033.0,385.0,416.0,0.0,15147.0,19484.0,-0.14,-0.09,0.99,12.33,-0.63,-36.7,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:10:22,101.74,12.67,34.55,-1.4,0.0,-0.79,0.69,1035.0,386.0,409.0,0.0,15148.0,19482.0,-0.14,-0.09,0.99,12.92,-0.93,-36.8,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:10:25,101.75,12.63,34.74,-1.34,0.0,-0.73,0.68,1042.0,384.0,407.0,1.0,15147.0,19481.0,-0.17,-0.08,0.99,11.27,-0.15,-37.4,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:10:29,101.73,12.67,34.64,-1.4,0.12,-0.79,0.7,1040.0,387.0,401.0,0.0,15148.0,19495.0,-0.16,-0.09,0.99,11.9,-0.55,-36.9,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:10:31,101.74,12.63,34.63,-1.34,0.0,-0.61,0.69,1041.0,385.0,411.0,4.0,15142.0,19484.0,-0.16,-0.09,0.99,11.82,-1.33,-36.1,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:10:34,101.74,12.65,34.66,-1.34,0.12,-0.85,0.7,1040.0,387.0,420.0,5.0,15138.0,19480.0,-0.16,-0.09,0.99,12.04,-1.15,-36.8,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:11:01,101.74,12.67,34.67,-1.46,0.18,-0.85,0.69,1036.0,385.0,416.0,2.0,15146.0,19490.0,-0.16,-0.09,0.99,12.29,-1.62,-37.0,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:11:03,101.74,12.68,34.69,-1.28,0.12,-0.92,0.69,1035.0,386.0,416.0,7.0,15145.0,19478.0,-0.16,-0.09,0.99,12.19,-0.26,-37.4,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:11:06,101.74,12.68,34.72,-1.34,0.06,-0.92,0.68,1034.0,384.0,407.0,2.0,15147.0,19493.0,-0.16,-0.09,0.99,11.89,-0.83,-37.1,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:11:13,101.74,12.72,34.64,-1.28,0.12,-0.85,0.69,1032.0,386.0,405.0,2.0,15149.0,19486.0,-0.16,-0.08,0.99,11.65,-0.55,-37.7,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:11:16,101.74,12.7,34.72,-4.27,-3.85,1.4,0.69,1031.0,386.0,402.0,0.0,15158.0,19501.0,-0.35,-0.1,0.92,12.06,0.2,-36.2,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:11:18,101.74,12.7,34.72,-1.34,0.18,-0.85,0.7,1040.0,387.0,400.0,0.0,15153.0,19495.0,-0.18,-0.07,0.98,11.54,-1.31,-35.9,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:11:20,101.73,12.72,34.52,-0.43,0.73,-2.87,0.7,1047.0,387.0,403.0,1.0,15155.0,19486.0,-0.2,-0.08,0.99,10.71,-0.99,-36.6,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:11:22,101.74,12.7,34.47,-1.28,-0.18,-0.79,0.69,1044.0,386.0,400.0,0.0,15160.0,19498.0,-0.19,-0.07,0.98,11.13,-0.85,-36.2,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:11:25,101.74,12.72,34.55,-1.22,0.18,-0.85,0.7,1042.0,386.0,400.0,0.0,15160.0,19508.0,-0.19,-0.06,0.98,10.91,-1.22,-36.8,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:11:27,101.75,12.72,34.44,-1.28,0.06,-0.85,0.69,1045.0,386.0,400.0,1.0,15161.0,19508.0,-0.19,-0.06,0.98,10.6,-1.11,-36.4,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:11:29,101.74,12.72,34.34,-1.34,0.06,-0.85,0.69,1047.0,386.0,400.0,0.0,15166.0,19507.0,-0.19,-0.06,0.98,10.85,-0.85,-36.6,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:11:32,101.74,12.7,34.41,-1.34,0.12,-0.67,0.7,1047.0,388.0,400.0,0.0,15166.0,19503.0,-0.19,-0.06,0.98,10.44,-1.23,-36.3,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:11:34,101.75,12.72,34.51,-1.22,0.06,-0.73,0.7,1045.0,388.0,400.0,0.0,15175.0,19514.0,-0.19,-0.06,0.98,10.9,-1.68,-36.7,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:11:37,101.75,12.7,34.35,-1.4,0.06,-0.79,0.69,1045.0,386.0,400.0,0.0,15185.0,19508.0,-0.19,-0.06,0.98,10.91,-0.67,-36.2,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:11:39,101.74,12.68,34.26,-1.53,0.0,-0.98,0.69,1046.0,386.0,400.0,5.0,15183.0,19512.0,-0.19,-0.06,0.98,10.58,-1.2,-35.8,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:11:41,101.74,12.7,34.27,-1.4,0.06,-0.79,0.7,1046.0,387.0,400.0,0.0,15188.0,19521.0,-0.19,-0.06,0.98,11.21,-1.32,-37.0,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:11:44,101.74,12.65,34.3,-1.46,0.06,-0.92,0.7,1044.0,388.0,400.0,0.0,15190.0,19519.0,-0.19,-0.06,0.98,10.94,-1.31,-35.8,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:11:46,101.74,12.67,34.29,-1.4,0.06,-0.85,0.7,1044.0,387.0,400.0,0.0,15200.0,19520.0,-0.19,-0.06,0.98,10.83,-1.84,-37.5,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:11:49,101.74,12.7,34.37,-1.4,0.18,-0.85,0.69,1045.0,386.0,400.0,1.0,15200.0,19532.0,-0.19,-0.06,0.98,11.11,-0.89,-35.9,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:11:51,101.74,12.7,34.19,-1.46,0.06,-0.79,0.69,1047.0,386.0,404.0,0.0,15187.0,19528.0,-0.19,-0.06,0.98,10.46,-1.42,-36.3,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:11:53,101.75,12.7,34.24,-1.4,0.06,-0.79,0.7,1046.0,387.0,402.0,0.0,15190.0,19533.0,-0.19,-0.06,0.98,11.21,-1.49,-35.9,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:11:56,101.75,12.68,34.26,-1.34,0.0,-0.79,0.7,1047.0,387.0,405.0,0.0,15181.0,19532.0,-0.19,-0.06,0.98,10.95,-0.93,-36.7,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:11:58,101.75,12.72,34.21,-1.4,0.06,-0.85,0.7,1047.0,388.0,422.0,4.0,15184.0,19535.0,-0.19,-0.06,0.98,10.28,-0.85,-36.0,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:12:01,101.75,12.7,34.14,-1.28,0.0,-0.73,0.7,1049.0,388.0,428.0,8.0,15174.0,19523.0,-0.19,-0.06,0.98,10.77,-1.2,-36.6,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:12:03,101.73,12.72,34.18,-1.34,0.12,-0.79,0.7,1051.0,387.0,425.0,5.0,15177.0,19532.0,-0.19,-0.06,0.98,10.97,-0.74,-36.1,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:12:08,101.74,12.72,34.2,-1.34,0.06,-0.61,0.7,1051.0,388.0,409.0,7.0,15187.0,19528.0,-0.19,-0.06,0.98,10.82,-1.03,-36.1,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:12:10,101.74,12.72,34.15,-1.22,0.18,-0.79,0.71,1052.0,389.0,400.0,0.0,15200.0,19532.0,-0.19,-0.06,0.98,10.82,-1.12,-35.9,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:12:13,101.75,12.68,34.15,-1.34,0.12,-0.73,0.71,1054.0,389.0,400.0,0.0,15204.0,19573.0,-0.19,-0.06,0.98,10.73,-0.94,-36.7,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:12:15,101.74,13.13,33.84,-1.28,0.31,-0.79,0.7,1053.0,387.0,400.0,0.0,15206.0,19565.0,-0.19,-0.06,0.98,11.0,-1.0,-36.9,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:12:17,101.74,13.17,33.89,-1.34,0.06,-0.73,0.69,1051.0,386.0,400.0,0.0,15204.0,19574.0,-0.19,-0.06,0.98,10.86,-1.28,-36.4,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:12:19,101.73,13.13,33.74,-1.34,0.18,-0.73,0.7,1050.0,387.0,400.0,0.0,15204.0,19576.0,-0.19,-0.06,0.98,11.24,-0.38,-37.9,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:12:24,101.74,13.17,33.82,-1.22,0.18,-0.55,0.71,1054.0,386.0,400.0,0.0,15209.0,19574.0,-0.19,-0.06,0.98,10.72,-1.07,-37.1,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:12:27,101.74,13.11,33.75,-1.28,0.24,-0.85,0.7,1052.0,388.0,400.0,0.0,15207.0,19570.0,-0.19,-0.06,0.98,10.36,-0.94,-37.8,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:12:29,101.74,13.19,33.84,-1.28,0.12,-0.79,0.7,1052.0,387.0,400.0,0.0,15209.0,19573.0,-0.19,-0.06,0.98,10.88,-1.48,-37.5,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:12:31,101.74,13.15,33.71,-1.16,0.12,-0.79,0.7,1052.0,387.0,400.0,0.0,15204.0,19571.0,-0.19,-0.06,0.98,10.58,-0.79,-36.0,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:12:33,101.73,13.15,33.79,-1.22,0.12,-0.92,0.7,1052.0,389.0,400.0,0.0,15204.0,19575.0,-0.19,-0.06,0.98,10.78,-1.04,-37.1,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:12:36,101.74,13.21,33.71,-1.4,0.18,-0.73,0.7,1054.0,387.0,400.0,0.0,15202.0,19573.0,-0.19,-0.06,0.98,10.05,-1.4,-37.1,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:12:38,101.74,13.19,33.89,-1.16,0.06,-0.79,0.7,1053.0,388.0,400.0,0.0,15208.0,19579.0,-0.19,-0.06,0.98,10.55,-1.53,-35.9,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:12:40,101.74,13.17,33.79,-1.34,0.31,-0.92,0.7,1051.0,388.0,400.0,4.0,15205.0,19578.0,-0.19,-0.06,0.98,10.49,-0.98,-36.5,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:12:43,101.73,13.21,33.78,-1.28,0.12,-0.85,0.69,1053.0,386.0,400.0,4.0,15197.0,19571.0,-0.19,-0.06,0.98,10.49,-0.84,-36.5,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:12:45,101.74,13.19,33.78,-1.1,-0.06,-0.67,0.7,1053.0,386.0,400.0,3.0,15196.0,19575.0,-0.19,-0.06,0.98,10.95,-1.32,-37.4,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:12:48,101.74,13.17,33.84,-1.22,0.12,-0.67,0.71,1051.0,389.0,400.0,0.0,15203.0,19581.0,-0.19,-0.06,0.98,10.71,-0.87,-37.2,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:12:51,101.74,13.19,33.86,-1.22,0.06,-0.92,0.7,1053.0,387.0,400.0,0.0,15208.0,19586.0,-0.19,-0.06,0.98,10.41,-0.95,-36.7,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:12:53,101.74,13.19,33.75,-1.28,0.06,-0.85,0.7,1052.0,388.0,400.0,1.0,15218.0,19580.0,-0.19,-0.06,0.98,10.49,-0.2,-35.6,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:12:56,101.73,13.19,33.79,-1.28,0.0,-0.73,0.71,1054.0,388.0,400.0,2.0,15214.0,19576.0,-0.19,-0.06,0.98,10.68,-0.93,-37.8,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:13:00,101.74,13.17,33.83,-1.34,0.18,-0.61,0.7,1055.0,387.0,400.0,2.0,15215.0,19583.0,-0.19,-0.06,0.98,10.68,-0.82,-37.5,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:13:02,101.74,13.17,33.83,-1.22,0.24,-0.85,0.7,1055.0,387.0,400.0,4.0,15215.0,19586.0,-0.19,-0.06,0.98,10.69,-1.31,-36.3,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:13:04,101.74,13.19,33.76,-1.34,0.12,-0.79,0.7,1057.0,388.0,400.0,0.0,15222.0,19583.0,-0.19,-0.06,0.98,11.11,-1.28,-37.3,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:13:07,101.73,13.19,33.79,-1.34,0.18,-0.85,0.71,1054.0,388.0,400.0,3.0,15226.0,19586.0,-0.19,-0.06,0.98,10.88,-0.81,-37.4,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:13:09,101.74,13.21,33.77,-1.28,0.12,-0.49,0.7,1052.0,388.0,400.0,1.0,15221.0,19587.0,-0.19,-0.06,0.98,10.58,-1.35,-38.3,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:13:12,101.74,13.22,33.8,-1.34,0.06,-0.79,0.7,1052.0,387.0,400.0,0.0,15212.0,19582.0,-0.19,-0.06,0.98,10.73,-0.89,-36.7,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:13:15,101.74,13.21,33.73,-1.22,0.18,-0.85,0.69,1045.0,386.0,400.0,6.0,15212.0,19589.0,-0.19,-0.06,0.98,10.82,-1.28,-37.6,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:13:17,101.74,13.22,33.81,-1.16,0.0,-0.85,0.68,1029.0,383.0,400.0,2.0,15214.0,19586.0,-0.19,-0.06,0.98,11.16,-0.4,-37.1,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:13:19,101.74,13.22,33.8,-1.28,0.12,-0.79,0.66,1018.0,380.0,400.0,0.0,15222.0,19590.0,-0.19,-0.06,0.98,10.64,-1.46,-36.7,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:13:22,101.74,13.21,33.8,-1.28,0.0,-0.73,0.64,1003.0,376.0,400.0,0.0,15224.0,19592.0,-0.19,-0.06,0.98,11.12,-0.24,-37.4,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:13:24,101.74,13.17,33.84,-1.4,0.06,-0.67,0.65,1003.0,378.0,400.0,0.0,15228.0,19594.0,-0.19,-0.06,0.98,11.28,-1.05,-37.3,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:13:26,101.74,13.22,33.73,-1.4,0.12,-0.79,0.65,1007.0,379.0,400.0,5.0,15216.0,19582.0,-0.19,-0.06,0.98,10.74,-0.83,-36.7,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:13:29,101.73,13.21,33.83,-1.22,0.12,-0.67,0.66,1015.0,380.0,400.0,7.0,15218.0,19597.0,-0.19,-0.06,0.98,11.02,-1.29,-36.6,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:13:31,101.74,13.17,33.8,1.71,2.93,2.08,0.66,1011.0,380.0,400.0,1.0,15224.0,19603.0,-0.15,-0.08,1.01,10.42,-0.9,-39.1,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:13:33,101.74,13.17,33.81,-1.28,0.24,-1.22,0.63,994.0,375.0,400.0,0.0,15228.0,19597.0,-0.15,-0.09,0.99,11.29,0.65,-40.0,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:13:35,101.74,13.21,33.88,-1.16,0.12,-0.73,0.64,993.0,378.0,400.0,5.0,15219.0,19594.0,-0.16,-0.09,0.99,11.36,0.37,-40.8,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:13:38,101.74,13.19,33.92,-1.22,0.24,-0.73,0.64,994.0,376.0,400.0,1.0,15221.0,19596.0,-0.16,-0.09,0.99,11.63,0.77,-40.9,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:13:40,101.73,13.21,33.91,-1.28,0.18,-0.92,0.65,994.0,378.0,400.0,2.0,15220.0,19592.0,-0.16,-0.09,0.99,11.12,0.66,-40.4,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:13:55,101.74,13.19,33.9,-1.22,0.18,-0.67,0.65,993.0,378.0,400.0,5.0,15212.0,19597.0,-0.16,-0.09,0.99,11.0,-0.45,-41.1,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:13:59,101.74,13.19,34.13,-1.34,0.12,-1.04,0.64,994.0,377.0,400.0,6.0,15207.0,19589.0,-0.16,-0.09,0.99,11.63,0.81,-40.9,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:14:01,101.74,13.19,34.12,-1.4,0.12,-0.98,0.64,993.0,377.0,400.0,0.0,15210.0,19594.0,-0.16,-0.09,0.99,10.94,0.49,-39.9,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:14:03,101.74,13.19,33.97,-1.28,0.18,-0.79,0.63,994.0,375.0,400.0,7.0,15209.0,19590.0,-0.16,-0.09,0.99,11.3,0.95,-40.4,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:14:05,101.74,13.19,33.95,-1.34,0.12,-0.79,0.64,995.0,376.0,400.0,6.0,15215.0,19593.0,-0.16,-0.09,0.99,11.76,-0.18,-40.4,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:14:08,101.74,13.17,33.85,-1.4,0.06,-0.79,0.64,992.0,376.0,400.0,1.0,15216.0,19598.0,-0.16,-0.09,0.99,11.79,-0.24,-40.5,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:14:16,101.74,13.17,33.95,-3.97,1.65,-4.03,0.64,984.0,375.0,400.0,0.0,15218.0,19596.0,-0.05,-0.1,1.04,11.5,0.42,-43.1,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:14:19,101.74,13.21,33.95,-3.17,-1.1,2.01,0.64,997.0,376.0,400.0,4.0,15216.0,19597.0,-0.1,-0.06,0.98,8.46,-0.76,-42.6,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:14:21,101.73,13.24,33.87,-1.1,0.12,-0.61,0.65,1005.0,379.0,400.0,1.0,15218.0,19605.0,-0.11,-0.04,1.0,6.63,-1.37,-40.9,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:14:24,101.74,13.19,33.82,-1.4,0.06,-0.73,0.65,1006.0,379.0,400.0,0.0,15213.0,19599.0,-0.12,-0.04,1.0,7.17,-1.54,-41.6,0.0,0.0,0.0,0.0,0.0
2021-03-27 10:14:26,101.74,13.22,33.93,-1.28,0.12,-0.85,0.65,995.0,377.0,400.0,3.0,15210.0,19593.0,-0.12,-0.04,0.99,7.52,-1.11,-42.0,0.0,0.0,0.0,0.0,0.0
